name,input_size,initial_flips,cooling_rate,max_iter,success_rate,avg_rel_error,avg_runtime,avg_best_value,real_value
large_1,100,3,0.995,80000,0.10,0.04,8.87,8811.70,9147.0
large_2,200,3,0.995,80000,0.00,0.03,9.19,10896.40,11238.0
large_3,500,3,0.995,80000,0.00,0.03,9.20,28080.20,28857.0
large_4,1000,3,0.995,80000,0.00,0.01,10.09,53812.50,54503.0
large_5,2000,3,0.995,80000,0.00,0.01,12.53,109763.40,110625.0
large_6,5000,3,0.995,80000,0.00,0.00,14.68,275776.20,276457.0
large_7,10000,3,0.995,80000,0.00,0.00,15.87,563056.00,563647.0
large_8,100,3,0.995,80000,0.00,0.07,9.40,1403.40,1514.0
large_9,200,3,0.995,80000,0.00,0.07,9.61,1527.40,1634.0
large_10,500,3,0.995,80000,0.00,0.03,9.44,4439.60,4566.0
large_11,1000,3,0.995,80000,0.00,0.01,10.05,8924.50,9052.0
large_12,2000,3,0.995,80000,0.00,0.01,11.63,17863.20,18051.0
large_13,5000,3,0.995,80000,0.00,0.00,13.83,44199.30,44356.0
large_14,10000,3,0.995,80000,0.00,0.00,18.08,90071.50,90204.0
large_15,100,3,0.995,80000,0.00,0.05,8.13,2285.00,2397.0
large_16,200,3,0.995,80000,0.00,0.04,8.91,2580.90,2697.0
large_17,500,3,0.995,80000,0.00,0.02,9.89,6984.70,7117.0
large_18,1000,3,0.995,80000,0.00,0.01,10.24,14227.70,14390.0
large_19,2000,3,0.995,80000,0.00,0.01,11.62,28760.60,28919.0
large_20,5000,3,0.995,80000,0.00,0.00,16.46,72362.00,72505.0
large_21,10000,3,0.995,80000,0.00,0.00,23.72,146748.80,146919.0
