name,input_size,initial_flips,cooling_rate,max_iter,success_rate,avg_rel_error,avg_runtime,avg_best_value,real_value
small_1,10,5,0.995,80000,1.00,0.00,8.74,295.00,295.0
small_2,20,5,0.995,80000,0.70,0.00,10.34,1020.50,1024.0
small_3,4,5,0.995,80000,1.00,0.00,10.92,35.00,35.0
small_4,4,5,0.995,80000,1.00,0.00,11.10,23.00,23.0
small_5,15,5,0.995,80000,1.00,0.00,10.65,481.07,481.0694
small_6,10,5,0.995,80000,1.00,0.00,10.45,52.00,52.0
small_7,7,5,0.995,80000,1.00,0.00,10.84,107.00,107.0
small_8,23,5,0.995,80000,0.00,0.00,11.34,9743.70,9767.0
small_9,5,5,0.995,80000,1.00,0.00,11.88,130.00,130.0
small_10,20,5,0.995,80000,0.80,0.00,12.46,1023.30,1025.0
